time,seconds_elapsed,AccelerationZ,AccelerationY,AccelerationX,GyroscopeZ,GyroscopeY,GyroscopeX,Label
1.73e+18,4.089831055,0.426999816,-0.38018765,-0.542801896,0.062435057,-0.376333684,0.064553708,stretching
1.73e+18,4.099781982,0.384603128,-0.423258146,-0.721047498,0.049204204,-0.32283932,0.06576518,stretching
1.73e+18,4.109733154,0.280638165,-0.448781294,-0.924985432,0.019586096,-0.292121828,0.079393275,stretching
1.73e+18,4.119684082,0.174779644,-0.488338813,-1.074462439,-0.018646777,-0.278016657,0.103822716,stretching
1.73e+18,4.129634277,0.086430329,-0.427912693,-1.099242221,-0.051562306,-0.286374271,0.1320443,stretching
1.73e+18,4.139584961,0.040395577,-0.270085938,-0.991621658,-0.062044773,-0.323478222,0.16077821,stretching
1.73e+18,4.149536133,0.174179778,0.008351064,-0.718446376,-0.055494964,-0.403456986,0.180940285,stretching
1.73e+18,4.159487061,0.408889428,0.294072963,-0.429818344,-0.059493437,-0.494092345,0.196131229,stretching
1.73e+18,4.169437012,0.61762541,0.404168245,-0.32297578,-0.078666657,-0.56589967,0.201895133,stretching
1.73e+18,4.179388184,0.857064573,0.297954773,-0.266261046,-0.108615503,-0.6047104,0.191693097,stretching
1.73e+18,4.189339355,1.061640805,0.034576808,-0.169249446,-0.135036319,-0.596702695,0.170476794,stretching
1.73e+18,4.199290039,1.143129001,-0.218721661,-0.017884726,-0.158347234,-0.54201442,0.154412866,stretching
1.73e+18,4.209241211,1.088140689,-0.433902874,0.158113299,-0.1740354,-0.456551969,0.148609221,stretching
1.73e+18,4.219191162,0.978463632,-0.525756982,0.336269452,-0.188025787,-0.359645128,0.152988791,stretching
1.73e+18,4.229141846,0.865530496,-0.52738429,0.415083461,-0.198504761,-0.26550135,0.16075097,stretching
1.73e+18,4.239093262,0.72410937,-0.45404316,0.431317205,-0.205846563,-0.210403472,0.162596002,stretching
1.73e+18,4.249043213,0.745372961,-0.336128728,0.483334465,-0.206339493,-0.180013105,0.167735741,stretching
1.73e+18,4.258994141,0.663627137,-0.232045838,0.501994559,-0.22028327,-0.115953423,0.177593693,stretching
1.73e+18,4.268945068,0.45131768,-0.216840085,0.343040517,-0.24071151,-0.059661452,0.178787336,stretching
1.73e+18,4.278895996,0.497947476,-0.266584067,0.303480623,-0.235940725,-0.106746413,0.15573661,stretching
1.73e+18,4.288846924,0.901248875,-0.241569453,0.624116233,-0.233654857,-0.199215174,0.12020579,stretching
1.73e+18,4.298797363,1.213544161,-0.336498146,0.572225303,-0.228271812,-0.303906441,0.063079119,stretching
1.73e+18,4.308748047,1.580682945,-0.439468107,0.548901016,-0.17158103,-0.354780883,-0.012109846,stretching
1.73e+18,4.318699219,1.731498214,-0.368263988,0.820107446,-0.09309873,-0.235415071,-0.06876833,stretching
1.73e+18,4.328650146,1.289953301,-0.432200161,0.83173249,-0.019140754,0.011347447,-0.071133241,stretching
1.73e+18,4.338600098,0.593828063,-0.550706129,0.878827638,0.025966803,0.280528575,-0.008495428,stretching
1.73e+18,4.348551025,-0.139588503,-0.512188475,0.857199452,0.03120932,0.49919188,0.088617109,stretching
1.73e+18,4.358502441,-0.807391903,-0.324140769,0.624036008,-0.020879978,0.583036423,0.182226956,stretching
1.73e+18,4.368453125,-1.013131333,-0.085405662,0.242750425,-0.09924119,0.486907601,0.228193223,stretching
1.73e+18,4.378404297,-0.787870625,0.174177586,-0.070330633,-0.194214851,0.254930019,0.22923559,stretching
